Number;Brand;Capacity;Year on Floppy;Last acces;Oldest file;Format;Content;Usable;Remarque
1;Sony;1,4MB;;16/06/2000;25/03/1997;dos;h, cpp, exe, bgi, fuz, chr;y;
2;Sony;1,4MB;juil-94;;;;;n;Pb pas de message erreur 
3;Sony;1,4MB;;02/06/1997;02/01/1997;dos;pal, mot, exe, tpu, pas;y;
4;Sony;1,4MB;;;;;;n;Freeze PC Pb pas de message erreur 
5;Sony;1,4MB;;;;;;n;Freeze PC Pb pas de message erreur 
6;Sony;1,4MB;févr-95;;;;;n;Frezze Pb pas de message erreur 
7;Sony;1,4MB;;30/06/2000;25/03/1997;dos;h, cpp, exe, bgi, fuz, chr;y;
8;Sony;1,4MB;;;;;;n;
9;Sony;1,4MB;;05/06/1997;08/11/1992;dos;chr, bgi, img, exe, pas, pyr, tpu;y;
10;Sony;1,4MB;1993;03/11/1999;30/07/1993;dos;com, sys, txt, bak, pas, xls;y;
11;Sony;1,4MB;;20/02/1995;27/11/1992;dos;bgi, chr, pas, tpu, exe;y;Projet Pascal
12;Sony;1,4MB;;15/02/2002;22/11/2001;dos;h, cpp, exe, obj;y;Projet Calculette C, jeu loto nb mystere
13;Sony;1,4MB;;23/02/2005;15/02/2002;dos;exe, obj, txt, cpp, h;y;Projet C inderterminé
14;Sony;1,4MB;;26/02/2002;21/06/1999;dos;txt, bmp, ico;y;Morceau d'un projet d'appli cryptage
15;TDK;1,4MB;;15/02/1995;09/03/1993;dos;tpu,  doc, txt, pas, klg;y;Traducteur Kagol -> pascal
16;TDK;1,4MB;;05/06/1997;08/12/1992;dos;chr, bgi, img, exe, pas, pyr, tpu;y;Projet Pyramide
17;TDK;1,4MB;;17/01/1997;27/01/1997;dos;bak, txt, exe, pas, tpu, pyr;y;Projet Grammaire langage Pyramide
18;3M;1,4MB;;26/06/1995;13/11/1993;dos;tpu,  doc, txt, pas, klg, bat, scr, fli;y;Traducteur Kagol -> pascal
19;3M;1,4MB;;26/06/1993;10/12/1990;dos;exe, pas, bak, lis, txt, tpl, ;y;Traducteur Pyramide ?
20;BASF;1,4MB;;26/02/2002;24/08/2001;dos;obj, cpp, h, exe;y;Projet Cryptage
21;BASF;1,4MB;1993;06/02/1986;06/02/1986;dos;pas;y;Fichies pascal
22;BASF;1,4MB;;19/04/2001;18/04/2001;dos;jpg;y;Photos de Rachid
23;BASF;1,4MB;;09/06/1997;27/10/1992;dos;tpu, pas, exe, bak, tkt;y;Projet Pyramide
24;BASF;1,4MB;;;;dos;;n;Erreur accès
25;BASF;1,4MB;31/05/2000;31/05/2000;25/06/2000;dos;cpp;y;Projet 
26;BASF;1,4MB;;01/06/2000;04/03/1998;dos;cpp,bak, h, inl;y;Projet compilation
27;BASF;1,4MB;;09/06/1995;11/03/1993;dos;bgi, tpu, pas, exe, txt, bak;y;Projet traducteur ?
28;BASF;1,4MB;;14/02/2002;23/01/2002;dos;txt, cpp, obj, exe, h, tds, res, bpr;y;Projet Conjugaison
29;Verbatim;1,4MB;09/05/1995;09/05/1995;27/10/1992;dos;exe, klg, pas, doc, txt, bak, bgi, chr;y;Traducteur Kagol -> pascal
30;Verbatim;1,4MB;;30/06/2000;02/03/1998;dos;doc, h, cpp, ide, dsw, mbt, mrt;y;Projet traducteur inachevé
31;Verbatim;1,4MB;;26/06/2000;09/02/1998;dos;dc, cpp, h;y;Projet traduteur Fuzzy -> C
32;Verbatim;1,4MB;;02/06/1997;31/10/1996;dos;pyr, txt, pas, chr, bgi, tpu , exe;y;Projet Pyramide
33;Verbatim;1,4MB;;02/06/1997;23/03/1997;dos;exe, pas, psm, dsk, psm, doc;y;Projet Pyramide
34;Verbatim;1,4MB;;15/03/1993;01/01/1980;dos;pas, bak, lst, cps, dat, com, msg, bin, p;y;Test Pascal
35;MEMOREX;1,4MB;;26/05/1995;;dos;pas, exe;y;
36;MAXELL;1,4MB;;09/05/1995;08/12/1992;dos;tpu, txt, exe, doc, txt, chr;y;
37;MAXELL;1,4MB;;22/02/2002;25/01/2002;dos;txt, cp, exe, h;y;
38;MAXELL;1,4MB;;31/05/2000;28/05/2000;dos;txt, cp, exe, h, ide;y;
39;MAXELL;1,4MB;;10/04/2006;05/11/2002;dos;cpp, exe, h, tds, obj;y;
40;MAXELL;1,4MB;;10/03/1995;08/06/1994;dos;pas, doc, exe, txt, klg;y;
41;VARIOUS;1,4MB;1997;25/05/1998;11/03/1993;dos;exe, pas doc;y;
42;VARIOUS;1,4MB;;24/02/2002;17/02/2002;dos;cpp, exe, h, tds, obj;y;
43;VARIOUS;1,4MB;;;;dos;;n;Plante le lecteur de disquette. Voyant allumé
44;VARIOUS;1,4MB;;18/05/1993;10/12/1990;dos;img, ltm, bak, exe, pas, tpu, txt;y;
45;VARIOUS;1,4MB;;14/09/2004;24/09/2003;dos;h, doc;y;Projet Matrix
46;VARIOUS;1,4MB;;02/06/1996;27/10/1992;dos;pas, pyr, tpu, chr, txt, exe;y;Projet Pyramide
47;NONAME;1,4MB;;02/06/1997;27/10/1992;dos;cpp, dfm, h, obj, res;y;Projet Histo Morse / Cryptage - décryptage
